index,repair_date,repair_cafe_number,repair_cafe_name,country,kind_of_product,category,brand,repaired,repairability
0,2026-02-14,550,Louth,GB,Vacuum cleaner,Household appliances electric,Henry,no,3.0
1,2026-02-14,550,Louth,GB,Accordion,Display and sound equipment,Microvox,no,6.0
2,2026-03-07,250,Madrid Medialab Matadero,ES,Television,Display and sound equipment,LG,no,7.0
3,2026-03-07,250,Madrid Medialab Matadero,ES,Table clock,Clocks / alarm clocks,Unknown/n.a.,yes,7.0
4,2026-03-07,250,Madrid Medialab Matadero,ES,Television,Display and sound equipment,Engel,no,7.0
5,2026-03-07,250,Madrid Medialab Matadero,ES,Walkman,Display and sound equipment,Sanyo,yes,9.0
6,2026-03-07,250,Madrid Medialab Matadero,ES,Electric drill / Power drill,Tools electric,Bosch,yes,7.0
7,2026-03-07,250,Madrid Medialab Matadero,ES,Badge maker,Other,Unknown/n.a.,half,8.0
8,2026-03-07,250,Madrid Medialab Matadero,ES,Coffee maker,Household appliances electric,DeLonghi,no,6.0
9,2026-03-07,250,Madrid Medialab Matadero,ES,Hair dryer,Household appliances electric,Parlux,yes,1.0
10,2026-03-07,250,Madrid Medialab Matadero,ES,Radio,Display and sound equipment,Pritech,yes,10.0
11,2026-03-07,250,Madrid Medialab Matadero,ES,Laptop,Computer equipment / phones,Packard Bell,yes,5.0
12,2026-03-07,250,Madrid Medialab Matadero,ES,Hair dryer,Household appliances electric,Russell Hobbs,yes,2.0
13,2025-11-01,550,Louth,GB,Hair dryer,Household appliances electric,Mark Hill,yes,10.0
14,2026-02-14,550,Louth,GB,Radio,Display and sound equipment,Daewoo,no,2.0
15,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Cardigan,Textile,Unknown/n.a.,yes,5.0
16,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Dress,Textile,Unknown/n.a.,yes,4.0
17,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Coat / Jacket,Textile,Unknown/n.a.,yes,5.0
18,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Fitted sheet,Textile,Unknown/n.a.,yes,4.0
19,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Trousers / pants,Textile,Unknown/n.a.,yes,4.0
20,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Coffee maker,Household appliances electric,Philips,yes,6.0
21,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Trousers / pants,Textile,Unknown/n.a.,yes,4.0
22,2026-03-07,460,Kirchzarten,DE,Radio / CD player,Display and sound equipment,Clatronic,yes,6.0
23,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Upright vacuum cleaner,Household appliances electric,AEG,yes,3.0
24,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Hammer drill,Tools electric,Parkside,yes,4.0
25,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Trousers / pants,Textile,Unknown/n.a.,yes,3.0
26,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Trousers / pants,Textile,Unknown/n.a.,yes,3.0
27,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Bicycle / Bike,Bicycles,Victoria,yes,3.0
28,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Floor lamp / Standard lamp,Household appliances electric,Unknown/n.a.,yes,7.0
29,2026-03-07,460,Kirchzarten,DE,Paper shredder,Tools electric,Leitz,yes,6.0
30,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Floor lamp / Standard lamp,Household appliances electric,Unknown/n.a.,no,6.0
